place_id,name,rating,user_ratings_total,latitude,longitude,address,types
ChIJD8KhXACNaTERUQB0chVSDP4,"Quán ăn 98: bún, mỳ quảng, cơm trưa",4.8,6,15.3466963,108.2269634,"98 Võ Nguyên Giáp, TT. Trà My, Bắc Trà My, Quảng Nam, Việt Nam",Nhà hàng gia đình
ChIJOXYlFgDdQTERFX9bdspopaA,Cơm Hương Đào,4.2,6,15.9232423,107.6492535,"WJFX+9MQ, Hồ Chí Minh, TT. P Rao, Đông Giang, Quảng Nam, Việt Nam",Nhà hàng cơm
ChIJ51pKXwDdQTERAnByCLoasms,Quán cơm,,0,15.9261291,107.6477096,"168 Đ. Hồ Chí Minh, TT. P Rao, Đông Giang, Quảng Nam, Việt Nam",Nhà hàng cơm
ChIJjT1LQQDdQTERPVY7YDdAmyw,Quán bánh canh An,5.0,1,15.9236331,107.6492317,"185 Đ. Hồ Chí Minh, TT. P Rao, Đông Giang, Quảng Nam, Việt Nam",Nhà hàng ăn nhanh
ChIJ-5eLWwDdQTERFsXN7ot_qpU,Mì Quảng Phú Chiêm 15K &Giải Khát,5.0,1,15.9272632,107.6392892,"01Huỳnh Thúc Kháng, TT. P Rao, Đông Giang, Quảng Nam, Việt Nam",Nhà hàng ăn nhanh
ChIJ7RQpqfTdQTERgnHQvDKQD0I,Ba Sỉn Quán,5.0,1,15.9240809,107.6485581,"TT. P Rao, Đông Giang, Quảng Nam, Việt Nam",Nhà hàng châu Á
ChIJmRi8DpndQTERnGtejzzn5as,"Quán Bánh Xèo,Cháo Vịt,Bún Thịt Nướng",3.9,38,15.923856,107.6492309,"WJFX+GMX, TT. P Rao, Đông Giang, Quảng Nam, Việt Nam",Nhà hàng
ChIJr2FFBQDdQTERxTqE9QrkJws,quán Cu Bo,5.0,1,15.9216304,107.648154,"WJCX+95Q, Hồ Chí Minh, TT. P Rao, Đông Giang, Quảng Nam, Việt Nam",Nhà hàng gia đình
ChIJwzPMZgDdQTERVrrM1J3YagU,NHƯ Ý Restaurant,4.8,5,15.924859,107.647774,"WJFX+W4R, TT. P Rao, Đông Giang, Quảng Nam, Việt Nam",Nhà hàng châu Á
ChIJM3SBTuuNaTER52Z_7DrtPEI,Ăn vặt hongkong 1995,5.0,3,15.3379065,108.2156163,"29 Nguyễn Chí Thanh, TT. Trà My, Bắc Trà My, Quảng Nam, Việt Nam",Nhà hàng
