Country_Code,Year,Indicator_Code,Value
BRN,1990,BX.KLT.DINV.CD.WD,7000000.0
BRN,1990,NY.GDP.PCAP.CD,23658.7166330381
BRN,1991,BX.KLT.DINV.CD.WD,5000000.0
BRN,1991,NY.GDP.PCAP.CD,23932.1897530199
BRN,1992,BX.KLT.DINV.CD.WD,7000000.0
BRN,1992,NY.GDP.PCAP.CD,23450.8964414887
BRN,1993,BX.KLT.DINV.CD.WD,8000000.0
BRN,1993,NY.GDP.PCAP.CD,22397.073791312
BRN,1994,BX.KLT.DINV.CD.WD,5890000.0
BRN,1994,NY.GDP.PCAP.CD,22766.5871897245
BRN,1995,BX.KLT.DINV.CD.WD,582760560.0
BRN,1995,NY.GDP.PCAP.CD,26443.2564321071
BRN,1996,BX.KLT.DINV.CD.WD,653600000.0
BRN,1996,NY.GDP.PCAP.CD,25692.235637475
BRN,1997,BX.KLT.DINV.CD.WD,701740000.0
BRN,1997,NY.GDP.PCAP.CD,25522.3975481543
BRN,1998,BX.KLT.DINV.CD.WD,573250000.0
BRN,1998,NY.GDP.PCAP.CD,17769.2463626025
BRN,1999,BX.KLT.DINV.CD.WD,747868670.0
BRN,1999,NY.GDP.PCAP.CD,19752.2013169229
BRN,2000,BX.KLT.DINV.CD.WD,549607250.0
BRN,2000,NY.GDP.PCAP.CD,20130.2571493081
BRN,2001,BX.KLT.DINV.CD.WD,60694643.6567848
BRN,2001,NY.GDP.PCAP.CD,18287.8271687345
BRN,2002,BX.KLT.DINV.CD.WD,229671955.675395
BRN,2002,NY.GDP.PCAP.CD,18621.2922677806
BRN,2003,BX.KLT.DINV.CD.WD,123820911.146426
BRN,2003,NY.GDP.PCAP.CD,20677.9001224663
BRN,2004,BX.KLT.DINV.CD.WD,113205866.961457
BRN,2004,NY.GDP.PCAP.CD,24423.0947731021
BRN,2005,BX.KLT.DINV.CD.WD,175068516.562807
BRN,2005,NY.GDP.PCAP.CD,29386.2703597208
BRN,2006,BX.KLT.DINV.CD.WD,87839128.3133848
BRN,2006,NY.GDP.PCAP.CD,34674.7995990594
BRN,2007,BX.KLT.DINV.CD.WD,257635717.488309
BRN,2007,NY.GDP.PCAP.CD,36217.3291010089
BRN,2008,BX.KLT.DINV.CD.WD,222184549.489168
BRN,2008,NY.GDP.PCAP.CD,42156.5685216979
