Country_Code,Country_Name,Year,HDI_Value,Life_Expectancy,Education_Years,FDI_Net_Inflows,GDP_Per_Capita,FDI_to_HDI_Ratio,HDI_Level
BRN,Brunei Darussalam,1990,0.781,71.629,7.51,7000000.0,23658.7166330381,8962868.117797695,High
BRN,Brunei Darussalam,1991,0.782,71.858,7.62,5000000.0,23932.1897530199,6393861.89258312,High
BRN,Brunei Darussalam,1992,0.782,72.09,7.73,7000000.0,23450.8964414887,8951406.649616368,High
BRN,Brunei Darussalam,1993,0.783,72.333,7.84,8000000.0,22397.073791312,10217113.665389528,High
BRN,Brunei Darussalam,1994,0.782,72.571,7.95,5890000.0,22766.5871897245,7531969.309462915,High
BRN,Brunei Darussalam,1995,0.784,72.838,8.06,582760560.0,26443.2564321071,743317040.8163265,High
BRN,Brunei Darussalam,1996,0.784,73.079,8.106,653600000.0,25692.235637475,833673469.387755,High
BRN,Brunei Darussalam,1997,0.785,73.326,8.152,701740000.0,25522.3975481543,893936305.732484,High
BRN,Brunei Darussalam,1998,0.785,73.584,8.198,573250000.0,17769.2463626025,730254777.0700637,High
BRN,Brunei Darussalam,1999,0.79,73.806,8.244,747868670.0,19752.2013169229,946669202.5316457,High
BRN,Brunei Darussalam,2000,0.792,74.017,8.29,549607250.0,20130.2571493081,693948547.979798,High
BRN,Brunei Darussalam,2001,0.794,74.209,8.328,60694643.6567848,18287.8271687345,76441616.69620252,High
BRN,Brunei Darussalam,2002,0.798,74.365,8.366,229671955.675395,18621.2922677806,287809468.264906,High
BRN,Brunei Darussalam,2003,0.804,74.509,8.404,123820911.146426,20677.9001224663,154006108.3910771,Very High
BRN,Brunei Darussalam,2004,0.81,74.603,8.442,113205866.961457,24423.0947731021,139760329.58204567,Very High
BRN,Brunei Darussalam,2005,0.814,74.683,8.48,175068516.562807,29386.2703597208,215071887.6692961,Very High
BRN,Brunei Darussalam,2006,0.819,74.753,8.538,87839128.3133848,34674.7995990594,107251682.92232578,Very High
BRN,Brunei Darussalam,2007,0.822,74.793,8.596,257635717.488309,36217.3291010089,313425447.06606936,Very High
BRN,Brunei Darussalam,2008,0.824,74.814,8.654,222184549.489168,42156.5685216979,269641443.55481553,Very High
BRN,Brunei Darussalam,2009,0.828,74.814,8.712,325586827.786628,30946.4674272953,393220806.5055894,Very High
BRN,Brunei Darussalam,2010,0.83,74.82,8.77,480722550.0,34937.5555174068,579183795.180723,Very High
BRN,Brunei Darussalam,2011,0.834,74.835,8.82,691170270.0,46382.8274456238,828741330.9352518,Very High
BRN,Brunei Darussalam,2012,0.841,74.843,8.87,864905530.0,46968.5971144517,1028425124.8513676,Very High
BRN,Brunei Darussalam,2013,0.842,74.854,8.92,775642000.0,44003.0644293856,921190023.7529691,Very High
BRN,Brunei Darussalam,2014,0.841,74.862,8.97,573906207.836338,41026.508391054,682409283.9908895,Very High
BRN,Brunei Darussalam,2015,0.839,74.88,9.02,171289167.823994,30625.128732694,204158722.07865795,Very High
BRN,Brunei Darussalam,2016,0.838,74.905,9.06,-150550827.310312,26663.2973199878,-179654925.1913031,Very High
BRN,Brunei Darussalam,2017,0.837,74.943,9.1,467927550.316566,28024.3824618568,559053226.1846666,Very High
BRN,Brunei Darussalam,2018,0.837,74.992,9.14,516202620.629746,30988.1190497851,616729534.802564,Very High
BRN,Brunei Darussalam,2019,0.835,75.049,9.18,373256767.246304,30426.5730284202,447014092.5105437,Very High
BRN,Brunei Darussalam,2020,0.836,75.114,9.22,565542275.429332,26834.3592463839,676485975.3939378,Very High
BRN,Brunei Darussalam,2021,0.835,74.869,9.282,206462739.392454,31006.9636220576,247260765.73946583,Very High
BRN,Brunei Darussalam,2022,0.825,72.917,9.282,-290169984.940837,36632.9280421411,-351721193.86768126,Very High
BRN,Brunei Darussalam,2023,0.837,75.327,9.282,-55927970.3793758,32890.5492465722,-66819558.39829845,Very High
IDN,Indonesia,1990,0.531,63.249,3.220000029,1093000000.0,578.420121135382,2058380414.3126173,Low
IDN,Indonesia,1991,0.538,63.703,3.493125036,1482000000.0,624.387495384411,2754646840.148699,Low
IDN,Indonesia,1992,0.545,64.182,3.766250044,1777000000.0,673.67103954742,3260550458.715596,Low
IDN,Indonesia,1993,0.555,64.851,4.039375052,2004000000.0,817.395116417856,3610810810.8108106,Medium
IDN,Indonesia,1994,0.565,65.041,4.31250006,2109000000.0,899.793982949817,3732743362.8318586,Medium
IDN,Indonesia,1995,0.575,65.263,4.585625067,4346000000.0,1011.22614205568,7558260869.565218,Medium
IDN,Indonesia,1996,0.585,65.465,4.858750075,6194000000.0,1118.92133024129,10588034188.03419,Medium
IDN,Indonesia,1997,0.595,65.774,5.131875083,4677000000.0,1044.60674832472,7860504201.680673,Medium
IDN,Indonesia,1998,0.591,65.942,5.405000091,-240800000.0,454.877800792123,-407445008.4602369,Medium
IDN,Indonesia,1999,0.595,66.001,5.678125098,-1865620963.49086,657.268934667018,-3135497417.6316977,Medium
IDN,Indonesia,2000,0.6,66.292,5.951250106,-4550355285.71428,763.711124950924,-7583925476.190467,Medium
IDN,Indonesia,2001,0.608,66.583,6.224375114,-2977391857.14286,732.307093405708,-4897026080.827072,Medium
IDN,Indonesia,2002,0.617,66.954,6.497500122,145085548.722222,881.002913569131,235146756.4379611,Medium
IDN,Indonesia,2003,0.625,67.134,6.770625129,-596923827.786241,1043.2105838671,-955078124.4579856,Medium
IDN,Indonesia,2004,0.624,65.521,7.043750137,1896082770.0,1126.84004447173,3038594182.6923075,Medium
IDN,Indonesia,2005,0.638,67.531,7.316875145,8336257207.64285,1238.21447629488,13066233867.77876,Medium
IDN,Indonesia,2006,0.646,67.664,7.590000153,4914201435.40071,1558.31562847163,7607122965.016579,Medium
IDN,Indonesia,2007,0.649,67.914,7.019999981,6928480000.0,1823.21976255073,10675624036.979967,Medium
IDN,Indonesia,2008,0.653,68.085,7.070000172,9318453649.82664,2124.55483920618,14270219984.42058,Medium
