countryIsoCode,country,indexCode,index,dimension,indicatorCode,indicator,year,value,note
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),1990,0.781,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),1991,0.782,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),1992,0.782,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),1993,0.783,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),1994,0.782,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),1995,0.784,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),1996,0.784,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),1997,0.785,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),1998,0.785,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),1999,0.79,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),2000,0.792,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),2001,0.794,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),2002,0.798,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),2003,0.804,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),2004,0.81,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),2005,0.814,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),2006,0.819,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),2007,0.822,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),2008,0.824,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),2009,0.828,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),2010,0.83,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),2011,0.834,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),2012,0.841,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),2013,0.842,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),2014,0.841,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),2015,0.839,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),2016,0.838,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),2017,0.837,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),2018,0.837,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),2019,0.835,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.836,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),2021,0.835,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),2022,0.825,
BRN,Brunei Darussalam,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.837,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),1990,71.629,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),1991,71.858,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),1992,72.09,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),1993,72.333,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),1994,72.571,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),1995,72.838,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),1996,73.079,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),1997,73.326,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),1998,73.584,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),1999,73.806,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2000,74.017,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2001,74.209,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2002,74.365,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2003,74.509,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2004,74.603,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2005,74.683,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2006,74.753,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2007,74.793,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2008,74.814,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2009,74.814,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2010,74.82,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2011,74.835,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2012,74.843,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2013,74.854,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2014,74.862,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2015,74.88,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2016,74.905,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2017,74.943,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2018,74.992,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2019,75.049,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,75.114,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2021,74.869,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2022,72.917,
BRN,Brunei Darussalam,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2023,75.327,
